央视频道,#genre#
江苏卫视,http://114.254.94.104:2222/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://221.220.135.32:9999/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://114.254.84.178:2222/rtp/239.3.1.135:8028$1920x1080
江苏卫视,http://114.254.83.72:2222/rtp/239.3.1.135:8028$1920x1080
湖南卫视,http://221.220.108.96:4000/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://111.192.187.92:8012/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://111.196.132.243:8686/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://123.112.246.248:5555/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://123.118.6.83:4022/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://221.219.31.28:8888/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://114.254.94.104:2222/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://221.220.135.32:9999/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://114.254.84.178:2222/rtp/239.3.1.132:8012$1920x1080
北京卫视,http://115.171.216.54:4000/rtp/225.1.8.21:8002$1920x1080
北京卫视,http://115.171.216.22:4000/rtp/225.1.8.21:8002$1920x1080
北京卫视,http://1.202.10.125:8888/rtp/225.1.8.21:8002$1920x1080
北京卫视,http://115.171.80.162:8888/rtp/225.1.8.21:8002$1920x1080
广东卫视,http://111.192.187.92:8012/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://111.196.132.243:8686/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://123.112.246.248:5555/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://221.220.108.96:4000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://123.118.6.83:4022/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://221.219.31.28:8888/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://114.254.94.104:2222/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://221.220.135.32:9999/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://114.254.84.178:2222/rtp/239.3.1.142:8048$1920x1080
深圳卫视,http://111.196.132.243:8686/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://111.192.187.92:8012/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://123.112.246.248:5555/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://sweetown.fun:4000/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://221.219.31.28:8888/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://123.118.6.83:4022/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://114.254.94.104:2222/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://221.220.135.32:9999/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://114.254.84.178:2222/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://114.254.83.72:2222/rtp/239.3.1.134:8020$1920x1080
黑龙江卫视,http://111.192.187.92:8012/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://111.196.132.243:8686/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://sweetown.fun:4000/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://123.112.246.248:5555/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://221.220.108.96:4000/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://123.118.6.83:4022/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://221.219.31.28:8888/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://114.254.94.104:2222/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://221.220.135.32:9999/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://114.254.83.72:2222/rtp/239.3.1.133:8016$1920x1080
山东卫视,http://111.192.187.92:8012/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://111.196.132.243:8686/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://123.112.246.248:5555/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://sweetown.fun:4000/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://123.118.6.83:4022/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://221.219.31.28:8888/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://114.254.94.104:2222/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://221.220.135.32:9999/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://114.254.83.72:2222/rtp/239.3.1.209:8052$1920x1080
山东卫视,http://114.246.103.25:4000/rtp/239.3.1.209:8052$1920x1080
湖北卫视,http://111.192.187.92:8012/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://111.196.132.243:8686/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://sweetown.fun:4000/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://123.112.246.248:5555/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://123.118.6.83:4022/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://221.219.31.28:8888/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://114.254.94.104:2222/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://221.220.135.32:9999/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://114.254.84.178:2222/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://114.254.83.72:2222/rtp/239.3.1.138:8044$1920x1080
安徽卫视,http://111.196.132.243:8686/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://111.192.187.92:8012/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://sweetown.fun:4000/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://123.112.246.248:5555/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://123.118.6.83:4022/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://221.219.31.28:8888/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://114.254.94.104:2222/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://221.220.135.32:9999/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://114.254.83.72:2222/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://114.254.84.178:2222/rtp/239.3.1.211:8064$1920x1080
东南卫视,http://111.192.187.92:8012/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://111.196.132.243:8686/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://123.112.246.248:5555/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://sweetown.fun:4000/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://123.118.6.83:4022/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://221.219.31.28:8888/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://114.254.94.104:2222/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://221.220.135.32:9999/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://114.254.84.178:2222/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://114.254.83.72:2222/rtp/239.3.1.156:8148$1920x1080
江西卫视,http://111.192.187.92:8012/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://111.196.132.243:8686/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://sweetown.fun:4000/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://123.112.246.248:5555/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://123.118.6.83:4022/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://221.219.31.28:8888/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://114.254.94.104:2222/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://221.220.135.32:9999/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://114.254.83.72:2222/rtp/239.3.1.123:8164$1920x1080
江西卫视,http://114.254.84.178:2222/rtp/239.3.1.123:8164$1920x1080
辽宁卫视,http://111.192.187.92:8012/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://221.220.108.96:4000/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://111.196.132.243:8686/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://sweetown.fun:4000/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://123.112.246.248:5555/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://123.118.6.83:4022/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://221.219.31.28:8888/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://114.254.94.104:2222/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://221.220.135.32:9999/rtp/239.3.1.210:8056$1920x1080
辽宁卫视,http://114.254.84.178:2222/rtp/239.3.1.210:8056$1920x1080
天津卫视,http://111.192.187.92:8012/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://111.196.132.243:8686/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://123.112.246.248:5555/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://sweetown.fun:4000/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://123.118.6.83:4022/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://221.219.31.28:8888/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://114.254.94.104:2222/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://221.220.135.32:9999/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://114.254.84.178:2222/rtp/239.3.1.141:1234$1920x1080
天津卫视,http://114.254.83.72:2222/rtp/239.3.1.141:1234$1920x1080
四川卫视,http://111.196.132.243:8686/rtp/239.3.1.29:8288$720x576
四川卫视,http://111.192.187.92:8012/rtp/239.3.1.29:8288$720x576
四川卫视,http://123.112.246.248:5555/rtp/239.3.1.29:8288$720x576
四川卫视,http://221.220.108.96:4000/rtp/239.3.1.29:8288$720x576
四川卫视,http://123.118.6.83:4022/rtp/239.3.1.29:8288$720x576
四川卫视,http://sweetown.fun:4000/rtp/239.3.1.29:8288$720x576
四川卫视,http://221.219.31.28:8888/rtp/239.3.1.29:8288$720x576
四川卫视,http://114.254.94.104:2222/rtp/239.3.1.29:8288$720x576
四川卫视,http://221.220.135.32:9999/rtp/239.3.1.29:8288$720x576
四川卫视,http://114.254.84.178:2222/rtp/239.3.1.29:8288$720x576
重庆卫视,http://111.192.187.92:8012/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://111.196.132.243:8686/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://123.112.246.248:5555/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://sweetown.fun:4000/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://123.118.6.83:4022/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://221.219.31.28:8888/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://114.254.94.104:2222/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://221.220.135.32:9999/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://114.254.84.178:2222/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://114.254.83.72:2222/rtp/239.3.1.122:8160$1920x1080
贵州卫视,http://111.196.132.243:8686/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://111.192.187.92:8012/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://sweetown.fun:4000/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://123.112.246.248:5555/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://123.118.6.83:4022/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://221.219.31.28:8888/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://114.254.94.104:2222/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://221.220.135.32:9999/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://114.254.83.72:2222/rtp/239.3.1.149:8076$1920x1080
贵州卫视,http://114.254.84.178:2222/rtp/239.3.1.149:8076$1920x1080
海南卫视,http://111.192.187.92:8012/rtp/239.3.1.45:8304$720x576
海南卫视,http://221.220.108.96:4000/rtp/239.3.1.45:8304$720x576
海南卫视,http://111.196.132.243:8686/rtp/239.3.1.45:8304$720x576
海南卫视,http://123.112.246.248:5555/rtp/239.3.1.45:8304$720x576
海南卫视,http://sweetown.fun:4000/rtp/239.3.1.45:8304$720x576
海南卫视,http://123.118.6.83:4022/rtp/239.3.1.45:8304$720x576
海南卫视,http://114.254.94.104:2222/rtp/239.3.1.45:8304$720x576
海南卫视,http://221.219.31.28:8888/rtp/239.3.1.45:8304$720x576
海南卫视,http://221.220.135.32:9999/rtp/239.3.1.45:8304$720x576
